Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,eFG%,FT,FTA,PTS,FG
1,Alex Abrines\abrinal01,SG,25,OKC,29,573,6.5,0.51,0.81,0.085,0.9,7.7,4.2,4.4,1.4,0.9,8.1,12.3,0.1,0.6,0.7,0.061,-2.3,-0.6,-2.9,-0.1,0.49,12,13,162,55
2,Quincy Acy\acyqu01,PF,28,PHO,6,50,-1.9,0.193,1,0.667,4.4,9.2,6.8,2.4,1,1.7,11.4,7.6,-0.1,0,-0.1,-0.082,-6.6,-1,-7.5,-0.1,0,3,4,3,0
3,Jaylen Adams\adamsja01,PG,22,ATL,9,43,7.9,0.4,0.6,0,0,7.6,3.7,18.1,3.2,2,9.1,10.4,0,0,0,0.038,-4.1,-0.2,-4.3,0,0.4,0,0,8,3
4,Steven Adams\adamsst01,C,25,OKC,44,1507,20.2,0.612,0.002,0.437,13.9,16.7,15.3,7.1,2.1,1.9,11.1,16.8,3.6,2.5,6.1,0.195,1.3,2.1,3.4,2,0.609,113,203,679,283
5,Bam Adebayo\adebaba01,C,21,MIA,44,967,17.2,0.602,0.034,0.496,10,22,16,14.3,1.6,3.4,17,15.3,1.7,1.6,3.3,0.162,-0.6,3.3,2.7,1.1,0.553,85,117,346,130
6,Deng Adel\adelde01,F,21,CLE,1,5,37.1,1.5,1,0,21.6,23.3,22.4,0,0,0,0,8.9,0,0,0,0.342,13.7,-9.9,3.8,0,1.5,0,0,3,1
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,22,8.5,0.322,0.4,0.2,4.9,14.9,9.9,37.1,4.5,0,15.5,25.1,-0.1,0,0,-0.05,-4.1,0.5,-3.5,0,0.3,1,2,7,3
8,LaMarcus Aldridge\aldrila01,C,33,SAS,47,1530,21.9,0.565,0.02,0.321,9.7,19,14.4,12.3,0.8,3.1,9.4,27.3,3.1,1.6,4.7,0.148,0.8,0.2,1,1.2,0.509,203,241,967,381
9,Rawle Alkins\alkinra01,SG,21,CHI,2,4,61.2,0.375,0.25,0,80.8,0,40.8,92.5,12.2,0,0,44.3,0,0,0,0.534,43.8,22.2,66,0.1,0.375,0,0,3,1
10,Grayson Allen\allengr01,SG,23,UTA,21,237,4.5,0.47,0.633,0.333,0.5,2.7,1.6,9.1,0.4,0.7,11.9,21.4,-0.3,0.2,-0.1,-0.019,-4.2,-3.6,-7.8,-0.4,0.411,23,30,97,29
11,Jarrett Allen\allenja01,C,20,BRK,45,1213,20.1,0.627,0.08,0.481,10.6,24.5,17.5,8.1,1,4.7,12.2,17,2.9,1.6,4.5,0.178,0.1,2.7,2.8,1.5,0.582,124,168,530,201
12,Al-Farouq Aminu\aminual01,PF,28,POR,47,1414,13.1,0.568,0.51,0.29,5.7,22.5,14.3,4.9,1.6,1,8.9,13.2,1.8,1.8,3.6,0.122,0.1,1,1.1,1.1,0.52,86,103,455,152
13,Justin Anderson\anderju01,SG,25,ATL,24,204,9.1,0.476,0.449,0.217,5.1,14.3,9.6,7.6,2,2.9,13.7,17.4,-0.1,0.2,0,0.01,-4.2,-0.2,-4.4,-0.1,0.442,11,15,72,27
14,Kyle Anderson\anderky01,SF,25,MEM,41,1217,13.3,0.569,0.132,0.229,4,18.9,11.3,15.5,2.2,2.8,15.2,12.6,0.9,1.8,2.7,0.106,-1.9,3.5,1.7,1.1,0.56,34,59,323,140
15,Ryan Anderson\anderry01,PF,30,PHO,15,278,4.7,0.423,0.567,0.233,5.6,12.9,9.1,8.1,0.5,0.3,15.4,12.2,-0.2,0,-0.2,-0.034,-4.2,-1.9,-6.1,-0.3,0.375,11,14,56,19
16,Ike Anigbogu\anigbik01,C,20,IND,3,6,-6,0,0,0,19.1,36.2,27.9,19.1,0,14.9,25,29.1,-0.1,0,-0.1,-0.47,-22.4,8.6,-13.8,0,0,0,0,0,0
17,Giannis Antetokounmpo\antetgi01,PF,24,MIL,42,1386,29.3,0.631,0.137,0.541,7.8,30.2,19.7,29.8,2,3.8,16,31.8,4.4,3.3,7.7,0.267,4.6,5.3,9.9,4.2,0.593,268,383,1107,411
18,Carmelo Anthony\anthoca01,PF,34,HOU,10,294,11.2,0.513,0.529,0.182,3.4,17.9,10.4,2.7,0.7,2,5.8,20.7,0.1,0.2,0.2,0.039,-2.9,-3.4,-6.2,-0.3,0.492,15,22,134,49
19,OG Anunoby\anunoog01,SF,21,TOR,39,815,9.9,0.524,0.504,0.14,4.2,11.3,7.8,4.7,1.5,1,8.8,16.3,0.2,0.9,1,0.06,-1.1,-0.5,-1.6,0.1,0.528,15,37,294,117
20,Ryan Arcidiacono\arcidry01,PG,24,CHI,45,1172,10.9,0.604,0.671,0.208,1.1,9.1,5.1,18.9,1.9,0.1,13.9,10.4,1.5,0.6,2.1,0.085,-0.2,-0.8,-1,0.3,0.567,40,45,285,94
21,Trevor Ariza\arizatr01,SF,33,TOT,41,1458,10.7,0.506,0.602,0.188,2.2,16,8.9,14.6,2.1,0.6,13.3,15.9,0,0.9,0.9,0.029,-1,0.1,-0.9,0.4,0.471,66,81,473,160
21,Trevor Ariza\arizatr01,SF,33,PHO,26,884,10.7,0.525,0.612,0.189,2,16.8,9.3,13.5,2.1,0.8,13.7,14,0.2,0.5,0.7,0.04,-1,0.5,-0.5,0.3,0.489,36,43,258,86
21,Trevor Ariza\arizatr01,SF,33,WAS,15,574,10.7,0.485,0.59,0.185,2.4,14.6,8.4,16.3,2.2,0.3,13,18.9,-0.2,0.4,0.2,0.013,-1,-0.5,-1.5,0.1,0.451,30,38,215,74
22,D.J. Augustin\augusdj01,PG,31,ORL,45,1259,15.3,0.629,0.486,0.336,1.9,6.5,4.1,25.3,0.9,0,14,16.9,2.8,0.6,3.4,0.129,1.8,-2.8,-1.1,0.3,0.574,107,121,520,169
23,Deandre Ayton\aytonde01,C,20,PHO,47,1448,21.5,0.619,0.004,0.22,11.4,27.6,19.3,11.1,1.2,2.7,11.8,21.1,3.2,1.3,4.5,0.148,0.8,0.7,1.5,1.3,0.594,96,125,770,337
24,Dwayne Bacon\bacondw01,SG,23,CHO,22,242,12.1,0.629,0.278,0.152,0.9,14.8,7.8,9.8,0.6,0,12.5,17.1,0.3,0.1,0.4,0.081,-1.5,-2.5,-4,-0.1,0.608,10,12,106,42
25,Marvin Bagley\baglema01,PF,19,SAC,32,739,17.5,0.58,0.117,0.434,10,18.5,14.2,5.5,1,3.5,13.3,22.4,0.8,0.7,1.5,0.1,-1.4,-0.4,-1.8,0,0.55,82,126,401,154
26,Ron Baker\bakerro01,SG,25,TOT,15,152,2.6,0.309,0.65,0.3,0.7,7.3,3.9,12.6,1.9,0.6,18.1,7.7,-0.2,0.1,-0.1,-0.037,-5.6,-0.8,-6.4,-0.2,0.225,5,6,14,4
26,Ron Baker\bakerro01,SG,25,NYK,11,107,4.5,0.376,0.563,0.375,0.9,6.1,3.4,15.7,2.2,0,13.9,8.5,0,0,0,-0.001,-4.2,-1.4,-5.7,-0.1,0.281,5,6,14,4
26,Ron Baker\bakerro01,SG,25,WAS,4,45,-1.9,0,1,0,0,9.9,4.9,5.2,1.1,1.9,33.3,5.7,-0.1,0,-0.1,-0.121,-9,0.8,-8.1,-0.1,0,0,0,0,0
27,Wade Baldwin\baldwwa01,PG,22,POR,13,72,2.4,0.422,0.269,0.423,1.5,11.4,6.6,18.7,0,2.2,26.3,24.7,-0.3,0,-0.2,-0.148,-9.1,-2.1,-11.1,-0.2,0.346,8,11,26,8
28,Lonzo Ball\balllo01,PG,21,LAL,47,1423,11.9,0.487,0.5,0.105,4,13.7,9,23.8,2.3,1.1,17.8,16.9,-0.1,2,1.9,0.063,-0.8,1.7,0.9,1,0.488,20,48,465,185
29,Mohamed Bamba\bambamo01,C,20,ORL,41,680,14.9,0.527,0.299,0.253,8.6,24.3,16.3,8.3,0.9,6.9,13.1,18.4,0.1,1.1,1.2,0.084,-3.3,2.9,-0.4,0.3,0.518,30,56,259,105
30,J.J. Barea\bareajo01,PG,34,DAL,38,752,16.5,0.495,0.332,0.203,1.9,11.5,6.8,47.7,1.4,0.1,14.7,27.8,0.5,0.6,1.2,0.074,1.3,-2.1,-0.8,0.2,0.468,55,78,415,161
31,Harrison Barnes\barneha02,SF,26,DAL,41,1322,14.1,0.552,0.443,0.283,2.6,11.3,7,5.6,1.1,0.6,7.6,23.4,1.3,1,2.4,0.086,-0.1,-2.1,-2.2,-0.1,0.501,143,169,742,246
32,Will Barton\bartowi01,SG,28,DEN,6,128,12.6,0.522,0.455,0.182,3.4,17.1,10.2,17.7,0.4,2.1,11.9,22.6,0.1,0.1,0.2,0.079,-1,-1.6,-2.6,0,0.482,9,10,62,21
33,Keita Bates-Diop\bateske01,SF,23,MIN,3,25,-4.6,0.222,0.444,0,0,17.4,8.5,0,0,3.4,10,16.9,-0.1,0,-0.1,-0.219,-13.4,-3.8,-17.2,-0.1,0.222,0,0,4,2
34,Nicolas Batum\batumni01,SF,30,CHO,45,1377,11.8,0.587,0.476,0.179,3,15.1,9,15.1,1.5,1.2,17.7,13,1.2,1.2,2.4,0.082,-0.1,1,0.9,1,0.556,49,57,404,147
35,Jerryd Bayless\bayleje01,PG,30,MIN,8,78,0.9,0.282,0.444,0.111,2.7,5.6,4.1,18.3,1.8,0,15,18,-0.3,0,-0.2,-0.143,-7.2,-2.7,-9.9,-0.2,0.278,1,3,16,6
36,Aron Baynes\baynear01,C,32,BOS,28,409,15.9,0.582,0.336,0.319,13.5,19.4,16.4,11.2,0.5,3.3,13.9,16.7,0.9,0.6,1.4,0.169,0.3,1,1.3,0.3,0.525,33,38,158,56
37,Kent Bazemore\bazemke01,SG,29,ATL,35,959,14.5,0.546,0.411,0.272,2.2,13.4,7.7,14.6,2.9,2.8,14,22.1,0.2,1,1.2,0.061,-0.8,0.9,0.1,0.5,0.509,82,109,490,177
38,Bradley Beal\bealbr01,SG,25,WAS,45,1672,19.4,0.568,0.368,0.238,3.2,11.8,7.5,22.2,1.7,1.9,11.3,28.3,2.3,0.9,3.2,0.093,2.8,-1.1,1.7,1.6,0.534,167,212,1119,418
39,Malik Beasley\beaslma01,SG,22,DEN,45,1040,13.8,0.609,0.541,0.062,2.1,10.3,6.2,7.7,1.3,0.5,6.6,16.8,1.7,0.8,2.5,0.117,1.5,-1.8,-0.3,0.4,0.597,21,23,463,179
40,Michael Beasley\beaslmi01,PF,30,LAL,19,185,17.7,0.564,0.132,0.292,4,15.5,9.9,12,1.8,2.6,14.3,31.3,0,0.3,0.2,0.061,-3.1,-1,-4.1,-0.1,0.533,22,31,135,55
41,Marco Belinelli\belinma01,SG,32,SAS,45,1002,13.5,0.565,0.566,0.208,1,10.2,5.6,11.7,1.2,0.5,8.1,20.7,1.2,0.7,1.8,0.088,1.5,-2.4,-0.9,0.3,0.523,74,82,486,163
42,Jordan Bell\belljo01,C,24,GSW,43,474,13.6,0.554,0.01,0.212,7.1,17.1,12.3,13,1.4,6.1,16.9,11.8,0.5,0.6,1.1,0.115,-2.3,3.3,1,0.4,0.535,14,21,120,53
43,DeAndre' Bembry\bembrde01,SG,24,ATL,45,1121,10.2,0.501,0.308,0.228,2.4,16.7,9.4,14.9,2.4,1.9,17,17.5,-0.7,1.1,0.4,0.018,-3.4,1.2,-2.2,-0.1,0.482,50,83,401,158
44,Dragan Bender\bendedr01,PF,21,PHO,14,108,5.2,0.432,0.593,0.259,5.1,13.9,9.4,8.8,0.4,0.8,16.6,14.5,-0.1,0,-0.1,-0.048,-5,-2.6,-7.6,-0.2,0.37,6,7,26,9
45,Davis Bertans\bertada01,PF,26,SAS,43,861,14.9,0.699,0.771,0.119,2.2,16.6,9.5,7.4,1.1,2,8.8,13.5,1.8,0.8,2.7,0.148,3.1,-0.2,2.9,1.1,0.685,23,27,334,113
46,Patrick Beverley\beverpa01,PG,30,LAC,45,1122,9.4,0.519,0.597,0.286,3.2,13.2,8.4,17.4,1.1,1.4,14.9,12.4,0.8,0.7,1.5,0.066,0.1,0.4,0.5,0.7,0.478,53,71,290,92
47,Khem Birch\birchkh01,C,26,ORL,20,178,16.5,0.572,0.026,0.5,9,20.6,14.7,8.8,1.7,4.7,7.9,12.5,0.3,0.3,0.6,0.162,-2.3,2.9,0.6,0.1,0.5,15,19,53,19
48,Bismack Biyombo\biyombi01,C,26,CHO,20,271,16.9,0.598,0,0.45,12.2,24.3,18.2,5.6,0.9,7.7,13.3,13.1,0.5,0.4,0.9,0.156,-2.2,3.5,1.3,0.2,0.583,16,27,86,35
49,Nemanja Bjelica\bjeline01,PF,30,SAC,46,1117,15.7,0.598,0.437,0.165,6.6,18.8,12.6,11.7,1.5,2.8,12.9,16.7,1.7,1.2,2.8,0.122,1.2,1.3,2.5,1.3,0.577,47,60,467,177
50,Antonio Blakeney\blakean01,SG,22,CHI,35,549,11.8,0.509,0.257,0.199,1,11.4,6.1,6,0.9,1.1,7.8,25.9,-0.5,0.2,-0.3,-0.024,-4.2,-3.9,-8.1,-0.8,0.485,37,54,301,116
51,Eric Bledsoe\bledser01,PG,29,MIL,45,1313,19.3,0.584,0.386,0.234,3.8,11.5,7.9,27.4,2.3,1.2,13.5,22.4,2.7,2.2,4.9,0.181,2.7,1,3.6,1.9,0.556,97,128,705,271
52,Jaron Blossomgame\blossja01,SF,25,CLE,21,363,11.3,0.559,0.37,0.136,6,19.6,12.5,4.4,1,1.4,9.5,11.6,0.3,0,0.4,0.046,-2,-1.5,-3.5,-0.1,0.537,9,11,96,39
53,Bogdan Bogdanovic\bogdabo01,SG,26,SAC,34,948,15,0.547,0.425,0.18,1.5,11.8,6.6,20.2,1.5,0.6,11.4,23.4,0.8,0.6,1.4,0.073,1.1,-1.7,-0.6,0.3,0.517,64,79,517,192
54,Bojan Bogdanovic\bogdabo02,SF,29,IND,45,1425,14.8,0.616,0.391,0.29,1.9,12,7.1,7.8,1.3,0,10.7,20,2,1.7,3.7,0.126,1,-1.1,-0.1,0.7,0.575,123,150,718,254
55,Jonah Bolden\boldejo01,PF,23,PHI,22,283,9.8,0.591,0.547,0.25,8.2,21.9,15.3,6.2,0.8,4.2,24.5,14,-0.1,0.4,0.3,0.058,-3.1,1.1,-2,0,0.602,7,16,84,33
56,Isaac Bonga\bongais01,PG,19,LAL,6,22,9.8,0.322,0.125,0.375,9.6,9,9.3,22.9,6.4,0,17.7,21.3,-0.1,0,0,-0.025,-5.4,3.3,-2.1,0,0.25,2,3,6,2
57,Devin Booker\bookede01,SG,22,PHO,34,1191,18.7,0.561,0.357,0.313,1.9,10.1,5.9,34.9,1.3,0.4,14.7,32,1.2,0.2,1.5,0.06,3.4,-3.1,0.3,0.7,0.508,172,206,840,296
58,Chris Boucher\bouchch01,PF,26,TOR,14,71,27.2,0.576,0.556,0.25,12.4,19.3,16,0,1.4,18.1,4.8,25.5,0.2,0.2,0.4,0.246,-0.5,2.5,2,0.1,0.542,7,9,46,15
59,Avery Bradley\bradlav01,SG,28,LAC,39,1125,4.9,0.449,0.384,0.053,2.4,6.2,4.4,8.9,0.9,1,13.2,14.2,-1,0.4,-0.7,-0.028,-2.7,-0.7,-3.4,-0.4,0.438,14,17,294,121
60,Tony Bradley\bradlto01,C,21,UTA,1,9,-10.4,0,0,0,24.6,12,18.2,0,0,0,25,19.2,-0.1,0,-0.1,-0.341,-17.4,-5.4,-22.8,0,0,0,0,0,0
61,Corey Brewer\breweco01,SG,32,PHI,1,8,25.4,0.75,0.5,0,0,25.8,13.4,34.3,5.9,0,0,10.5,0,0,0.1,0.355,5.3,3,8.3,0,0.75,0,0,3,1
62,Mikal Bridges\bridgmi01,SF,22,PHO,47,1236,10.8,0.555,0.568,0.162,2.4,10.2,6.2,8.4,2.6,1.7,9.7,12.6,0.8,0.8,1.5,0.06,-0.6,0.6,0,0.6,0.525,42,49,360,129
63,Miles Bridges\bridgmi02,SF,20,CHO,43,832,12,0.532,0.412,0.204,3.2,17.2,10.1,7.4,1.2,2.8,8.1,15.3,0.5,0.8,1.3,0.075,-1.8,0.4,-1.4,0.1,0.504,38,51,290,111
64,Isaiah Briscoe\briscis01,PG,22,ORL,24,254,5.9,0.454,0.225,0.197,0.8,10.9,5.8,20.3,0.6,0,14.4,15.7,-0.2,0.1,-0.1,-0.01,-5.3,-2.3,-7.7,-0.4,0.451,6,14,70,29
65,Ryan Broekhoff\broekry01,SG,28,DAL,18,111,10.9,0.568,0.784,0.054,2,12.3,7.3,9.6,0.4,1.5,11.7,16.5,0.1,0.1,0.1,0.063,-1,-1.9,-3,0,0.554,2,2,43,16
66,Malcolm Brogdon\brogdma01,SG,26,MIL,42,1230,17.6,0.626,0.316,0.193,3.7,11.9,8.1,16.6,1,0.7,11.7,20.3,2.8,1.6,4.4,0.17,1.8,-0.2,1.6,1.1,0.586,89,93,653,250
67,Dillon Brooks\brookdi01,SF,23,MEM,18,330,7.8,0.499,0.328,0.246,3.1,7.8,5.4,7.8,1.5,1.2,12.3,21.4,-0.3,0.3,-0.1,-0.007,-4.1,-1.8,-5.9,-0.3,0.463,22,30,135,49
68,MarShon Brooks\brookma01,SG,30,MEM,29,387,11.9,0.518,0.32,0.195,3.5,10,6.7,11.2,1.2,1,10.3,24.2,-0.2,0.3,0.1,0.015,-2.8,-2.5,-5.4,-0.3,0.494,23,33,190,76
69,Bruce Brown\brownbr01,SG,22,DET,38,764,7.8,0.473,0.291,0.206,4.2,11.9,7.9,9.9,1.3,2,12,13.1,0,0.8,0.8,0.048,-3.5,1.4,-2,0,0.437,30,39,195,75
70,Jaylen Brown\brownja02,SG,22,BOS,41,1071,12.1,0.524,0.352,0.272,4,13.2,8.6,8.1,1.6,2.1,11.3,21.7,-0.1,1.5,1.4,0.063,-2.2,0.1,-2.1,0,0.496,77,116,500,188
71,Lorenzo Brown\brownlo01,PG,28,TOR,26,212,6.5,0.38,0.394,0.042,2.6,12.9,7.9,17.2,2.7,1.9,18.1,18,-0.5,0.3,-0.1,-0.031,-5.5,1.4,-4.1,-0.1,0.366,3,3,55,23
72,Sterling Brown\brownst02,SG,23,MIL,35,547,11.5,0.579,0.521,0.086,3.6,15.4,9.9,11,1,0.6,12,14.8,0.5,0.8,1.3,0.114,-0.9,0,-0.9,0.1,0.571,10,14,196,77
73,Troy Brown\browntr01,SF,19,WAS,23,168,12,0.474,0.222,0.259,2.6,17.3,9.8,17.9,2.3,0.5,9.1,16.8,0,0.1,0.2,0.05,-3.4,-0.8,-4.2,-0.1,0.426,11,14,57,21
74,Jalen Brunson\brunsja01,PG,22,DAL,38,645,10.9,0.511,0.311,0.203,1.9,8.7,5.3,19,1.5,0.1,11.7,18.1,0.3,0.5,0.8,0.057,-2,-1.4,-3.4,-0.2,0.486,31,45,247,97
75,Thomas Bryant\bryanth01,C,21,WAS,35,643,21.9,0.719,0.155,0.294,8,24.5,16.1,7.6,1.1,3.7,9.5,16,2.1,0.6,2.7,0.201,1.3,0.4,1.7,0.6,0.686,49,57,315,128
76,Reggie Bullock\bullore01,SG,27,DET,37,1134,11.2,0.571,0.65,0.15,1.6,7.3,4.3,11.7,0.9,0.2,9.5,16.6,1.3,0.7,2,0.085,0.9,-1.4,-0.5,0.4,0.543,49,56,455,156
77,Trey Burke\burketr01,PG,26,NYK,29,576,15.8,0.491,0.245,0.228,2.6,8.2,5.3,23.4,1.4,0.3,6.8,25.8,0.4,0.1,0.5,0.045,0.2,-3.4,-3.2,-0.2,0.445,57,68,322,120
78,Alec Burks\burksal01,SG,27,TOT,44,1037,13.2,0.523,0.352,0.308,2.2,16.2,9,13.3,1.2,1.5,9.6,20.4,0.6,0.4,1.1,0.049,-1.2,-1.2,-2.3,-0.1,0.466,98,118,455,153
78,Alec Burks\burksal01,SG,27,UTA,17,269,12.7,0.547,0.377,0.333,0.8,10,5.5,11.6,1.1,1.2,10.3,23.4,0.1,0.3,0.5,0.083,-1.9,-1.4,-3.3,-0.1,0.482,33,38,143,47
78,Alec Burks\burksal01,SG,27,CLE,27,768,13.4,0.513,0.342,0.297,2.7,18.4,10.2,13.9,1.3,1.6,9.2,19.3,0.5,0.1,0.6,0.038,-0.9,-1.1,-2,0,0.459,65,80,312,106
79,Deonte Burton\burtode02,SG,25,OKC,15,131,7.9,0.504,0.283,0.13,0.8,12.1,6.3,5.2,1.1,3.2,12.6,17.3,-0.1,0.2,0.1,0.035,-6,-0.2,-6.2,-0.1,0.478,5,6,49,20
80,Jimmy Butler\butleji01,SG,29,TOT,38,1259,21,0.579,0.231,0.36,5.7,10.1,7.9,17.2,2.9,1.6,8.1,23.4,3.1,1.5,4.6,0.174,2.8,0.4,3.3,1.7,0.518,169,200,744,263
80,Jimmy Butler\butleji01,SG,29,MIN,10,361,22.4,0.579,0.287,0.389,4.7,10.8,7.7,18.6,3.2,2.4,7.1,23.1,1,0.4,1.4,0.18,3.9,1.1,5,0.7,0.525,48,61,213,74
80,Jimmy Butler\butleji01,SG,29,PHI,28,898,20.4,0.578,0.209,0.349,6.1,9.9,8,16.6,2.8,1.2,8.6,23.6,2.1,1.1,3.2,0.172,2.4,0.1,2.6,1,0.515,121,139,531,189
81,Jose Calderon\caldejo01,PG,37,DET,37,539,6.7,0.42,0.472,0.083,1.7,9.3,5.3,24.7,1.5,0.5,21.1,11.2,-0.2,0.5,0.3,0.026,-4.3,-0.6,-4.8,-0.4,0.403,7,9,94,38
82,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,47,1120,12.3,0.569,0.576,0.259,2.4,9.1,5.8,6.2,1.7,0.4,6.7,16.6,1.4,1.1,2.5,0.107,0.3,-0.9,-0.6,0.4,0.52,85,97,475,158
83,Isaiah Canaan\canaais01,PG,27,PHO,19,503,7.5,0.515,0.558,0.155,1.1,10.1,5.5,17.1,1.2,0,17.4,14.4,-0.1,0.1,0,-0.002,-2.4,-2.2,-4.6,-0.3,0.492,15,20,142,51
84,Clint Capela\capelca01,C,24,HOU,42,1436,24.6,0.642,0,0.349,15.9,26,20.8,7.5,0.9,4.5,10.1,19.5,5,1.5,6.4,0.216,1.7,1.1,2.8,1.7,0.631,109,174,739,315
85,DeMarre Carroll\carrode01,SF,32,BRK,35,864,12.1,0.544,0.545,0.395,4.3,17.9,11.1,6.4,0.7,0.4,9.5,19.2,0.8,0.6,1.3,0.075,-0.9,-1.8,-2.6,-0.1,0.487,91,118,382,117
86,Jevon Carter\carteje01,PG,23,MEM,13,196,5.4,0.375,0.617,0.05,1.1,7.8,4.4,18.6,2.8,2,15.2,16.9,-0.4,0.2,-0.2,-0.045,-5.2,0,-5.1,-0.2,0.367,2,3,46,17
87,Vince Carter\cartevi01,SF,42,ATL,42,709,11,0.548,0.665,0.102,2.9,14.5,8.6,8.5,1.7,1.7,10.5,17,0.3,0.5,0.8,0.056,-1,-1,-2,0,0.533,20,26,291,104
88,Wendell Carter\cartewe01,C,19,CHI,44,1110,15.4,0.541,0.086,0.302,8.4,21.8,15.1,11.2,1.1,4.6,13.4,19.4,0.6,1.2,1.8,0.079,-2.5,2.1,-0.4,0.5,0.493,89,112,455,180
89,Michael Carter-Williams\cartemi01,PG,27,HOU,16,145,12.9,0.476,0.311,0.426,2.3,8,5.1,23.3,3.1,3.5,12.1,24.9,0,0.1,0.1,0.036,-3,-0.8,-3.8,-0.1,0.467,12,26,69,25
90,Alex Caruso\carusal01,SG,24,LAL,2,5,1.8,,,,21.1,0,10.2,0,0,0,,0,0,0,0,0.116,-1.9,-1.3,-3.2,0,,0,0,0,0
91,Omri Casspi\casspom01,SF,30,MEM,34,483,15.3,0.598,0.295,0.384,3.5,22.1,12.6,8.8,1.6,1.8,11,18.2,0.5,0.6,1.1,0.111,-2,0.1,-1.9,0,0.572,37,56,204,76
92,Willie Cauley-Stein\caulewi01,C,25,SAC,46,1312,18,0.539,0.002,0.301,8.7,23.9,16.1,13.5,2,2,9.4,20,1.8,1.7,3.5,0.127,-0.4,2,1.6,1.2,0.53,82,152,617,267
93,Troy Caupain\caupatr01,PG,23,ORL,2,9,33.4,0.625,0.5,0,0,24.7,12.1,56.6,5.5,0,0,19.7,0.1,0,0.1,0.387,9.7,2,11.8,0,0.625,0,0,5,2
94,Tyler Cavanaugh\cavanty01,PF,24,UTA,4,9,1.1,0.25,0.5,0,12.3,12,12.1,0,0,0,0,19.2,0,0,0,-0.124,-9.4,-6.6,-16,0,0.25,0,0,2,1
95,Tyson Chandler\chandty01,C,36,TOT,42,749,12.5,0.638,0.011,0.777,12,25.5,18.9,5.6,1.2,1.9,21.2,8.9,1,1.1,2.2,0.138,-2.2,1.9,-0.3,0.3,0.617,45,73,161,58
95,Tyson Chandler\chandty01,C,36,PHO,7,89,11.8,0.653,0,1.5,8.7,41.4,24.8,9.2,1.1,0.9,26,13.1,0.1,0.1,0.2,0.095,-4.8,0.2,-4.5,-0.1,0.667,10,18,26,8
95,Tyson Chandler\chandty01,C,36,LAL,35,660,12.6,0.636,0.012,0.671,12.5,23.4,18.1,5.1,1.2,2,20.3,8.4,1,1,2,0.144,-1.9,2.2,0.3,0.4,0.61,35,55,135,50
