Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,eFG%,FT,FTA,PTS,FG
194,Gary Harris\harriga01,SG,24,DEN,27,817,14.6,0.534,0.376,0.228,2.8,8.6,5.7,12.9,1.6,1.1,7.1,22.2,1,0.7,1.7,0.1,0.6,-1.6,-1,0.2,0.496,65,81,418,154
195,Joe Harris\harrijo01,SG,27,BRK,43,1283,13.7,0.642,0.521,0.152,2.6,10.7,6.6,12.9,0.9,0.4,13.3,17.3,2.2,0.7,2.9,0.107,1.9,-1.1,0.8,0.9,0.62,54,64,575,209
196,Tobias Harris\harrito02,PF,26,LAC,45,1540,18.8,0.61,0.3,0.253,2.3,21.7,12.4,10.5,1.1,0.9,10.2,23.6,2.8,1.3,4.2,0.13,1.9,-0.7,1.2,1.3,0.566,155,175,939,346
197,Andrew Harrison\harrian01,SG-PG,24,TOT,17,187,6,0.443,0.472,0.34,3.5,8.5,5.9,17.2,1.1,0.9,16.5,17,-0.1,0,-0.1,-0.035,-3.5,-3,-6.6,-0.2,0.349,17,18,54,16
197,Andrew Harrison\harrian01,PG,24,MEM,1,5,4.7,0.5,0.5,0,0,0,0,0,0,0,0,18.3,0,0,0,-0.017,-4,-6.2,-10.2,0,0.5,0,0,2,1
197,Andrew Harrison\harrian01,SG,24,CLE,10,144,6.8,0.467,0.359,0.41,3,8.9,5.8,16.4,1.4,1.2,17.8,17.2,-0.1,0,-0.1,-0.031,-3.7,-2.5,-6.3,-0.2,0.346,16,16,43,12
197,Andrew Harrison\harrian01,SG,24,NOP,6,38,3.2,0.349,0.833,0.167,5.7,8.1,6.9,22.2,0,0,13.4,16.2,0,0,0,-0.051,-2.6,-4.6,-7.2,-0.1,0.333,1,2,9,3
198,Shaquille Harrison\harrish01,PG,25,CHI,37,648,11.4,0.459,0.245,0.352,2.3,14.4,8.3,14.2,3.5,1.6,11,17.4,-0.5,0.8,0.3,0.023,-3.7,1.6,-2.1,0,0.423,42,69,208,77
199,Josh Hart\hartjo01,SG,23,LAL,47,1282,10.5,0.534,0.592,0.188,2,13.1,7.7,7.1,2,1.8,10,14.5,0.4,1.8,2.1,0.079,-1.2,1.4,0.2,0.7,0.512,49,70,431,153
200,Isaiah Hartenstein\harteis01,PF,20,HOU,23,185,9.6,0.557,0.167,0.389,11.3,12.6,11.9,9.2,1.1,4.1,22.2,12.8,0.2,0.1,0.3,0.076,-2.9,0.9,-2,0,0.5,11,14,47,17
201,Udonis Haslem\hasleud01,C,38,MIA,3,14,-4.6,0.333,0.333,0,7.5,30.1,18.8,0,0,0,25,24.4,-0.1,0,-0.1,-0.237,-16.1,-7.5,-23.6,-0.1,0.333,0,0,4,2
202,Gordon Hayward\haywago01,SF,28,BOS,41,1078,14.5,0.535,0.417,0.248,3.3,15.6,9.4,19.3,1.7,0.8,12.1,19.2,1.1,1.5,2.6,0.115,-0.1,0.5,0.4,0.7,0.489,79,94,450,160
203,John Henson\hensojo01,C,28,MIL,14,188,17.3,0.553,0.463,0.149,9.4,28.6,19.6,10.1,1.7,5,14.4,18.7,0.1,0.5,0.6,0.15,-1.6,3.2,1.7,0.2,0.545,6,10,79,31
204,Juan Hernangomez\hernaju01,PF,23,DEN,43,1092,13.2,0.634,0.581,0.3,5.6,16.3,10.9,5.1,0.9,1.5,9.5,12.8,2,1,2.9,0.13,0.9,-0.4,0.5,0.7,0.598,62,78,373,125
205,Willy Hernangomez\hernawi01,C,24,CHO,37,518,21.5,0.589,0.139,0.473,16.5,28,22.2,11,1,2.2,13.5,23.2,1.2,0.6,1.9,0.172,0.8,-0.3,0.5,0.3,0.55,65,95,286,104
206,Mario Hezonja\hezonma01,SF,23,NYK,38,694,9.9,0.473,0.345,0.207,2.2,18.3,9.9,8.2,2.4,0.6,12.3,20.8,-0.8,0.6,-0.3,-0.018,-3.9,-1,-4.9,-0.5,0.445,39,57,284,109
207,Buddy Hield\hieldbu01,SG,26,SAC,46,1443,17.7,0.607,0.463,0.119,4.1,12.3,8.1,10.8,0.7,0.9,9.9,24.8,2.5,0.7,3.2,0.107,3.3,-2.5,0.8,1,0.587,76,88,944,356
208,Haywood Highsmith\highsha01,SF,22,PHI,1,5,22.7,0.75,1,0,0,0,0,30.6,0,0,0,16.9,0,0,0,0.278,6.7,-11.9,-5.2,0,0.75,0,0,3,1
209,Nene Hilario\hilarne01,C,36,HOU,20,279,12.4,0.576,0.033,0.377,6.3,22.6,14.2,7.4,1.1,1.8,6.6,12,0.5,0.2,0.7,0.125,-2.8,-0.1,-2.8,-0.1,0.525,18,23,82,32
210,George Hill\hillge01,PG,32,TOT,33,764,12,0.561,0.356,0.231,3.4,6.9,5.2,14.8,1.9,0.3,11.6,14.7,0.9,0.5,1.5,0.092,-0.2,-1,-1.3,0.1,0.526,38,48,257,97
210,George Hill\hillge01,PG,32,CLE,13,344,13.7,0.604,0.262,0.187,3.8,5.1,4.4,16.3,1.7,0.2,14.7,17.5,0.5,-0.1,0.4,0.058,0.6,-3,-2.4,0,0.575,17,20,140,55
210,George Hill\hillge01,PG,32,MIL,20,420,10.6,0.516,0.455,0.277,3.2,8.4,5.9,13.7,2,0.4,8.1,12.4,0.5,0.6,1.1,0.121,-0.9,0.5,-0.4,0.2,0.475,21,28,117,42
211,Solomon Hill\hillso01,SF,27,NOP,28,586,6.7,0.503,0.564,0.188,4.6,11.5,8.1,6.9,1.3,1,16.1,9.2,0.1,0.2,0.3,0.027,-1.7,0,-1.7,0,0.485,12,19,110,40
212,Aaron Holiday\holidaa01,PG,22,IND,27,277,15.5,0.525,0.504,0.215,0.8,14.9,8,19.9,2.1,3.2,10.8,23.4,0.2,0.5,0.6,0.111,-0.5,0.5,0,0.1,0.479,23,26,139,50
213,Jrue Holiday\holidjr01,SG,28,NOP,46,1691,19,0.557,0.3,0.231,3.6,9.5,6.6,32.2,2.1,1.8,15.2,24.7,2.6,1.1,3.7,0.106,2.8,-0.6,2.3,1.8,0.526,138,180,958,372
214,Justin Holiday\holidju01,SG,29,TOT,46,1491,10.4,0.513,0.659,0.131,1.5,12.7,7.1,9.3,2.5,1.4,11,15.7,-0.4,1.4,1,0.031,-1.1,0.9,-0.2,0.7,0.484,52,58,481,164
214,Justin Holiday\holidju01,SG,29,CHI,38,1325,11.1,0.531,0.685,0.117,1.5,12.5,6.9,9.5,2.5,1.4,10.2,15.4,0.1,1.1,1.2,0.044,-0.3,0.9,0.6,0.9,0.506,41,46,440,151
214,Justin Holiday\holidju01,SG,29,MEM,8,166,4.7,0.378,0.449,0.245,1.3,14.9,7.9,7.8,3,1.7,16.9,18,-0.5,0.2,-0.3,-0.074,-7.5,1.2,-6.3,-0.2,0.306,11,12,41,13
215,John Holland\hollajo02,SF,30,CLE,1,1,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.041,-6.2,-1.3,-7.4,0,,0,0,0,0
216,Rondae Hollis-Jefferson\holliro01,SF,24,BRK,36,837,12.3,0.462,0.105,0.404,6.3,20.1,13.2,11.5,1.6,1.7,10.2,21.1,-0.2,0.9,0.7,0.041,-4,0.9,-3.2,-0.2,0.411,84,127,342,125
217,Richaun Holmes\holmeri01,C,25,PHO,45,716,23.1,0.697,0,0.447,11.1,20.6,15.8,8.6,1.9,5.9,12.2,17.9,2.2,0.8,3,0.202,1.3,2.1,3.4,1,0.673,70,97,362,146
218,Rodney Hood\hoodro01,SG,26,CLE,39,1063,14.3,0.561,0.326,0.264,1.5,8.8,5,11.6,1.6,0.3,7.4,20.2,1.5,-0.2,1.4,0.062,0.7,-3.1,-2.4,-0.1,0.505,97,106,503,179
219,Al Horford\horfoal01,C,32,BOS,37,1039,18,0.588,0.332,0.119,5.7,18,11.8,18.9,1.3,4.2,12.8,18.2,1.7,1.7,3.4,0.159,1,2.8,3.9,1.5,0.573,33,43,447,185
220,Danuel House\houseda01,SF,25,HOU,25,620,12.6,0.631,0.645,0.355,3.5,13,8.1,6.2,1.1,1.4,11.4,14.3,1,0.3,1.3,0.102,0.2,-1.3,-1.2,0.1,0.584,45,55,226,71
221,Dwight Howard\howardw01,C,33,WAS,9,230,17.7,0.638,0,0.696,11.2,28.7,19.8,2.6,1.4,1.5,15.1,19.7,0.4,0.2,0.6,0.128,-2.9,-2.3,-5.2,-0.2,0.623,29,48,115,43
222,Kevin Huerter\huertke01,SG,20,ATL,43,1164,9.5,0.538,0.537,0.105,3.3,9.3,6.2,13.6,1.4,1.2,15.8,15.2,0.2,0.5,0.7,0.029,-1.3,-0.8,-2.1,0,0.523,28,37,396,147
223,Chandler Hutchison\hutchch01,SF,22,CHI,41,788,8.8,0.507,0.22,0.172,4,17.9,10.8,5.2,1.3,0.4,9.9,12.5,-0.1,0.5,0.4,0.027,-4.2,-0.5,-4.7,-0.5,0.495,19,32,203,86
224,Serge Ibaka\ibakase01,C,29,TOR,44,1255,18.5,0.588,0.204,0.189,7.7,19.3,13.7,7.6,0.8,3.8,11.9,23.7,1.7,1.7,3.4,0.13,-0.1,0.7,0.6,0.8,0.563,83,106,714,299
225,Andre Iguodala\iguodan01,SF,35,GSW,41,955,12.5,0.564,0.478,0.231,3.5,13.6,8.7,15.9,1.8,2.8,13.5,10.6,1.3,1,2.3,0.113,0.1,1.6,1.7,0.9,0.551,26,43,231,87
226,Ersan Ilyasova\ilyaser01,PF,31,MIL,33,626,12.7,0.551,0.405,0.16,8.3,18.3,13.6,7.1,1.7,1.1,11.2,16.3,0.6,1.1,1.7,0.132,-1,0.7,-0.2,0.3,0.52,28,32,236,89
227,Joe Ingles\inglejo01,SF,31,UTA,47,1453,12.4,0.553,0.56,0.169,1.2,12.5,6.9,23.3,2.3,0.6,17.8,17.9,0.5,2.2,2.7,0.09,0.1,1.4,1.5,1.3,0.538,52,78,548,201
228,Brandon Ingram\ingrabr01,SG,21,LAL,36,1177,11.7,0.521,0.133,0.395,2.8,12.3,7.7,13,0.8,1.5,14.4,23.3,-0.5,1.2,0.7,0.028,-3.4,-0.3,-3.7,-0.5,0.485,121,190,588,224
229,Kyrie Irving\irvinky01,PG,26,BOS,41,1329,25.1,0.604,0.355,0.2,3.8,12,7.9,36,2.3,1.3,12.1,29.4,4,2,6,0.216,6.7,0.4,7.2,3.1,0.572,124,146,959,364
230,Jonathan Isaac\isaacjo01,SF,21,ORL,40,1006,10.4,0.512,0.375,0.276,4.2,16.4,10.2,5.5,1.4,3.5,12.5,15.5,-0.2,1.2,1,0.048,-3.5,1.5,-2,0,0.46,63,76,316,112
231,Wesley Iwundu\iwundwe01,SF,24,ORL,36,607,7,0.491,0.259,0.388,2.6,10.8,6.6,6.6,1.1,1.1,11.8,14.2,-0.2,0.5,0.3,0.021,-4.6,-0.5,-5.1,-0.5,0.418,46,57,169,56
232,Demetrius Jackson\jacksde01,PG,24,PHI,6,39,21,0.656,0.4,0.267,5.7,2.6,4.1,19.8,2.4,0,5.6,19.2,0.2,0,0.2,0.233,4.4,-3.5,1,0,0.6,4,4,22,8
233,Frank Jackson\jacksfr01,PG,20,NOP,31,386,8.3,0.552,0.419,0.218,1.4,7,4.2,7.1,1,0,11.1,16.4,0.2,0,0.2,0.025,-1.9,-3.4,-5.3,-0.3,0.52,21,27,150,54
234,Jaren Jackson\jacksja02,C,19,MEM,46,1177,17.4,0.599,0.246,0.312,5.2,16.4,10.7,7.9,1.8,5.7,13,23.1,1,1.8,2.8,0.115,-1,2.1,1.1,0.9,0.56,110,142,620,236
235,Josh Jackson\jacksjo02,SG,21,PHO,47,1054,9.2,0.472,0.267,0.234,3.5,16.6,9.9,15.2,2.2,2.1,18.9,23.9,-2.2,0.8,-1.4,-0.066,-5.2,0,-5.2,-0.8,0.445,65,100,445,173
236,Justin Jackson\jacksju01,SF,23,SAC,45,970,10.5,0.559,0.545,0.173,2.5,11.6,6.9,7.9,0.9,1,6.2,13.1,1.1,0.5,1.6,0.077,-0.2,-0.9,-1.2,0.2,0.532,37,46,320,115
237,Reggie Jackson\jacksre01,PG,28,DET,45,1289,13.1,0.524,0.452,0.253,2.3,8.5,5.3,22.9,1.2,0.4,12,23,1.1,1,2.1,0.077,0.6,-1.6,-1,0.3,0.474,120,139,640,218
238,LeBron James\jamesle01,PF,34,LAL,34,1178,26.3,0.601,0.291,0.402,2.9,21.1,12.3,34.6,1.7,1.6,13.1,31.3,3.1,1.8,4.9,0.2,5.8,1.9,7.7,2.9,0.57,180,264,928,340
239,Amile Jefferson\jeffeam01,PF,25,ORL,1,4,18,0.532,0,2,26.7,0,13.6,0,0,0,0,20.8,0,0,0,0.251,0.2,-8.6,-8.4,0,0,2,2,2,0
240,Jonas Jerebko\jerebjo01,PF,31,GSW,46,882,13.6,0.6,0.551,0.227,7.1,19.8,13.7,10.7,0.9,0.9,11.4,14.9,1.6,0.8,2.4,0.128,1.2,-0.9,0.3,0.5,0.567,46,56,326,115
241,Alize Johnson\johnsal02,PF,22,IND,9,27,2,0.307,0.125,0.5,4.2,24.1,14.4,0,0,3.3,0,15.8,-0.1,0,0,-0.05,-11.6,-3.9,-15.5,-0.1,0.313,1,4,6,2
242,Amir Johnson\johnsam01,C,31,PHI,35,325,13.5,0.613,0.232,0.284,7.9,20.3,14.3,17.2,1.5,1.7,21.9,17.8,0.3,0.4,0.7,0.108,-1.3,0.6,-0.8,0.1,0.579,21,27,131,51
243,James Johnson\johnsja01,PF,31,MIA,28,580,11.3,0.515,0.374,0.163,2.2,14.7,8.4,16.3,1.4,1.5,12.5,18.3,0.1,0.7,0.8,0.067,-2,0.1,-1.9,0,0.493,24,33,224,87
244,Stanley Johnson\johnsst04,SF,22,DET,40,797,10.2,0.489,0.52,0.151,2.9,17.7,9.9,9.3,2.5,1.2,13.6,20.1,-0.7,1.1,0.4,0.027,-2.9,0.9,-2,0,0.462,36,46,317,119
245,Tyler Johnson\johnsty01,PG,26,MIA,37,927,13.5,0.554,0.491,0.226,1.8,10.4,6.1,14.8,1.9,1.7,12.2,19.6,0.6,1.1,1.7,0.089,0,0,-0.1,0.4,0.529,54,77,414,148
246,Wesley Johnson\johnswe01,SF,31,NOP,24,370,7,0.532,0.585,0.073,2.9,12.3,7.7,5.3,1.3,1.6,12.4,10.8,0.1,0.2,0.3,0.033,-1.9,-0.6,-2.5,0,0.518,5,6,90,33
247,Nikola Jokic\jokicni01,C,23,DEN,45,1397,26.8,0.592,0.244,0.297,9.7,25.6,17.6,39.1,2.1,2,16,27.3,4.6,2.2,6.7,0.231,6.3,3.3,9.6,4.1,0.544,165,196,883,333
248,Damian Jones\jonesda03,C,23,GSW,24,410,15.6,0.72,0,0.5,8.5,11.2,9.9,8.8,1.4,5.2,15.1,11.1,1,0.5,1.5,0.17,0.9,2.3,3.2,0.5,0.716,24,37,130,53
249,Derrick Jones\jonesde02,SF,21,MIA,33,602,16.4,0.576,0.263,0.363,10.3,14.4,12.3,4.5,2.4,3.4,10,16.3,0.9,1,1.8,0.146,-0.4,1.5,1.2,0.5,0.556,40,65,239,91
250,Jalen Jones\jonesja04,SF,25,CLE,16,214,11.9,0.548,0.452,0.435,5.6,12.5,8.9,4.8,2.1,0.8,9.8,16.9,0.2,0,0.2,0.049,-0.9,-2.5,-3.4,-0.1,0.5,19,27,81,26
251,Tyus Jones\jonesty01,PG,22,MIN,43,873,12.5,0.461,0.312,0.16,1.6,7.3,4.4,26.2,3,0.3,9.6,13.5,0.7,0.7,1.4,0.076,-1.2,-0.8,-2,0,0.426,32,38,234,90
252,DeAndre Jordan\jordade01,C,30,DAL,45,1401,18.1,0.674,0,0.624,11.5,36.1,24.1,9.5,1.1,2.7,22.3,14.3,2.4,2.4,4.8,0.164,-1,3.5,2.5,1.6,0.645,123,179,493,185
253,Cory Joseph\josepco01,PG,27,IND,45,1143,11.9,0.523,0.33,0.073,1.9,13.4,7.8,20.4,2.1,0.7,14.7,14,0.6,1.7,2.3,0.098,-1.2,1.3,0,0.6,0.517,14,22,327,138
254,Frank Kaminsky\kaminfr01,PF,25,CHO,23,262,16.3,0.595,0.43,0.355,7.3,16.1,11.7,14.2,0.9,1.7,14.3,20.5,0.4,0.2,0.6,0.112,0.8,-1.2,-0.4,0.1,0.57,22,33,128,46
255,Enes Kanter\kanteen01,C,26,NYK,41,1086,22.3,0.593,0.045,0.284,15.3,28.5,21.6,12.7,0.8,1.3,13.2,22.4,2.6,0.8,3.4,0.151,1.7,-0.2,1.5,1,0.551,103,126,592,241
256,Luke Kennard\kennalu01,SG,22,DET,27,542,11.4,0.551,0.48,0.111,1,15.1,7.7,10.7,0.8,0.9,10,18.2,0.3,0.5,0.8,0.068,-1.5,-0.9,-2.4,-0.1,0.54,15,22,229,88
257,Michael Kidd-Gilchrist\kiddgmi01,PF,25,CHO,38,753,15.3,0.562,0.117,0.364,9.5,15.9,12.7,6.5,1.3,3.8,9.5,16.8,1.2,0.8,2,0.127,-1,1,0,0.4,0.509,66,84,301,113
258,George King\kingge03,SF,25,PHO,1,6,2,,,,0,19.2,9.4,0,0,0,,0,0,0,0,0.003,-8.7,-1.6,-10.3,0,,0,0,0,0
259,Maxi Kleber\klebima01,PF,27,DAL,40,762,13.7,0.574,0.573,0.226,6.2,15.2,10.8,5.4,1.3,5.5,10.6,13.7,0.8,1.1,1.9,0.118,-0.8,2.6,1.9,0.7,0.54,36,45,251,89
260,Brandon Knight\knighbr03,PG,27,HOU,12,118,0.8,0.347,0.681,0.234,0.9,7.9,4.3,10.9,0.8,0,8.8,21.1,-0.3,0,-0.3,-0.121,-6.7,-4.9,-11.6,-0.3,0.287,9,11,36,11
261,Kevin Knox\knoxke01,PF,19,NYK,37,1007,9.4,0.483,0.408,0.244,3,13.6,8,5.1,1,0.9,9.1,22,-0.7,0.3,-0.4,-0.018,-2.8,-2.8,-5.6,-0.9,0.449,74,105,461,163
262,Furkan Korkmaz\korkmfu01,SG,21,PHI,38,570,11.3,0.519,0.602,0.16,2.5,14.7,8.8,11.4,2.1,0.3,9.1,17.9,0.2,0.6,0.9,0.074,-0.9,-1.1,-2.1,0,0.49,27,33,229,81
263,Luke Kornet\kornelu01,PF,23,NYK,22,342,18,0.611,0.683,0.192,4.1,13.8,8.7,13.8,1.7,2.9,9.1,17.7,0.8,0.2,1,0.138,2.9,-0.5,2.4,0.4,0.583,19,23,159,52
264,Kyle Korver\korveky01,SG-PF,37,TOT,41,755,12.5,0.623,0.708,0.172,0.7,11,5.8,7.9,0.7,1,10.9,18.6,0.9,0.5,1.4,0.089,0.8,-2.2,-1.4,0.1,0.597,39,46,358,119
264,Kyle Korver\korveky01,PF,37,CLE,16,251,11.5,0.65,0.711,0.211,0,13.5,6.5,10.2,0.6,0.7,17,17.6,0.3,-0.1,0.2,0.036,0.1,-3.7,-3.7,-0.1,0.625,13,16,108,35
264,Kyle Korver\korveky01,SG,37,UTA,25,504,13,0.612,0.707,0.157,1.1,9.8,5.5,6.7,0.8,1.1,8.1,19,0.6,0.6,1.2,0.115,1.2,-1.4,-0.3,0.2,0.586,26,30,250,84
265,Kosta Koufos\koufoko01,C,29,SAC,27,356,12.3,0.473,0,0.129,11.1,27,18.9,9.5,1.6,2.9,15.1,14.7,0,0.5,0.5,0.068,-3.9,2.1,-1.8,0,0.475,5,13,101,48
266,Rodions Kurucs\kurucro01,SF,20,BRK,30,616,13.5,0.602,0.371,0.219,5.2,13.8,9.5,5.5,1.4,1.1,12.9,18.4,0.7,0.5,1.2,0.093,-0.7,-0.8,-1.5,0.1,0.56,42,46,277,104
267,Kyle Kuzma\kuzmaky01,SF,23,LAL,45,1490,15.3,0.564,0.401,0.233,2.6,15.7,9.4,11.1,1,1,10.9,24.1,1.1,1.7,2.8,0.09,0.1,-0.8,-0.6,0.5,0.533,124,163,870,329
268,Skal Labissiere\labissk01,PF,22,SAC,11,99,6.4,0.518,0.37,0.407,2,19.2,10.5,5.2,0.9,1.7,15.9,15.9,-0.1,0.1,0,0.007,-5,-1.1,-6.1,-0.1,0.5,6,11,33,12
269,Jeremy Lamb\lambje01,SG,26,CHO,42,1216,16.5,0.552,0.31,0.249,3,17.9,10.4,10.6,1.7,0.8,6.6,21.9,1.7,1.2,2.8,0.112,0.4,-0.7,-0.3,0.5,0.506,112,130,640,235
270,Zach LaVine\lavinza01,SG,23,CHI,40,1358,17.2,0.557,0.28,0.316,1.6,12.3,6.9,23.1,1.3,1.1,14.6,31.3,0.1,0.7,0.8,0.029,0.8,-1.8,-1,0.3,0.498,196,227,912,323
271,Jake Layman\laymaja01,SF,24,POR,36,567,14.9,0.627,0.461,0.133,5.1,11.6,8.4,4.6,1.4,1.3,8.6,15.7,1,0.5,1.5,0.127,1.1,-0.9,0.2,0.3,0.617,17,24,239,96
272,T.J. Leaf\leaftj01,PF,21,IND,25,189,12.9,0.531,0.242,0.177,9.1,16.7,13,8.2,0.8,0.9,9.5,17,0.2,0.2,0.4,0.101,-1.9,-1,-3,0,0.524,6,11,71,31
273,Courtney Lee\leeco01,SG,33,NYK,10,149,14.1,0.527,0.333,0.267,4,13.2,8.4,13.9,2.6,1.1,7.4,15.4,0.2,0.1,0.3,0.091,-0.5,-0.1,-0.6,0.1,0.5,8,12,53,20
274,Damion Lee\leeda03,SG,26,GSW,16,195,10.8,0.612,0.534,0.224,1.7,13.9,8,2,2,0,11.2,15.7,0.1,0.2,0.3,0.076,-1.4,-2.6,-4,-0.1,0.578,11,13,78,27
275,Alex Len\lenal01,C,25,ATL,41,829,15.7,0.556,0.221,0.341,11.4,18.9,15.1,7.5,0.8,4.2,13.9,22.2,0.6,0.7,1.2,0.072,-1.8,-0.4,-2.2,0,0.526,77,116,435,168
276,Kawhi Leonard\leonaka01,SF,27,TOR,36,1259,27.3,0.613,0.253,0.403,4.4,19.7,12.2,15,2.7,1.2,8.3,30.3,4.2,2.1,6.3,0.24,4.9,0.9,5.7,2.4,0.55,237,278,995,347
277,Meyers Leonard\leoname01,C,26,POR,44,638,15.8,0.647,0.453,0.201,6.6,23.2,15.1,11.9,0.9,1.1,14.5,15.2,1.3,0.7,2,0.154,1.2,0.3,1.5,0.6,0.617,31,36,252,93
278,Jon Leuer\leuerjo01,PF,29,DET,29,322,14.1,0.631,0.098,0.293,7.1,19.8,13.1,5.4,1.8,0.8,16.1,16.4,0.4,0.4,0.8,0.116,-2.5,0.2,-2.3,0,0.598,21,27,131,55
279,Caris LeVert\leverca01,SF,24,BRK,14,416,18.4,0.557,0.299,0.299,3.6,12,7.8,21.2,2,0.9,11.5,26.9,0.5,0.4,0.9,0.105,1.5,-0.7,0.8,0.3,0.522,44,61,257,97
280,Damian Lillard\lillada01,PG,28,POR,47,1657,23.4,0.588,0.404,0.35,2.5,10.6,6.6,28.5,1.3,1.1,11.1,30.1,5.1,1.4,6.5,0.188,6.1,-1.3,4.8,2.8,0.521,285,316,1227,402
281,Jeremy Lin\linje01,PG,30,ATL,40,783,16.5,0.601,0.349,0.45,1.9,11.5,6.6,28,1.9,0.7,18.1,22.6,1.2,0.5,1.7,0.102,0.6,-2,-1.4,0.1,0.532,112,134,429,141
282,Shaun Livingston\livinsh01,PG,33,GSW,35,542,12.4,0.517,0.015,0.292,5,8.2,6.7,16.1,1.7,2.5,12,13.9,0.6,0.5,1.1,0.095,-2,0.3,-1.7,0,0.467,32,40,160,64
283,Zach Lofton\loftoza01,SG,26,DET,1,4,-10,0,1,0,0,0,0,0,12.2,0,50,21.3,-0.1,0,0,-0.444,-16.8,8.1,-8.7,0,0,0,0,0,0
284,Kevon Looney\looneke01,C,22,GSW,46,973,16.6,0.629,0.038,0.313,13.9,15.7,14.8,11.6,1.1,3.3,11.4,11.9,2.7,1,3.7,0.181,2,1.7,3.6,1.4,0.623,39,66,302,131
285,Brook Lopez\lopezbr01,C,30,MIL,45,1243,13.7,0.592,0.691,0.135,1.7,12.2,7.3,4.9,0.8,6.4,8.6,16.9,1.1,2.2,3.3,0.126,-0.1,2.3,2.2,1.3,0.572,47,58,539,190
286,Robin Lopez\lopezro01,C,30,CHI,38,626,11,0.555,0.086,0.171,8.1,9.8,9,8.8,0.5,4.3,20.2,17.9,-0.2,0.3,0.1,0.006,-4.1,0.3,-3.7,-0.3,0.537,22,32,223,98
287,Kevin Love\loveke01,PF,30,CLE,4,136,15.7,0.478,0.369,0.508,8,37.7,22.3,15.9,0.4,0.6,11.2,29.1,0,0,0.1,0.018,-1.8,-2.7,-4.5,-0.1,0.377,27,33,76,21
288,Kyle Lowry\lowryky01,PG,32,TOR,37,1261,17.4,0.552,0.585,0.269,1.6,12.3,7.1,37.5,2.1,1.1,17.7,19.4,2.3,1.6,3.8,0.146,2.7,0.2,2.9,1.5,0.506,93,112,515,173
289,Jordan Loyd\loydjo01,PG,25,TOR,4,22,23,1.042,0.5,1,5,28.8,17.2,12.3,0,0,25.8,15.2,0.1,0,0.1,0.29,4.2,-1.4,2.8,0,1,4,4,12,3
