Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
95,Tyson Chandler\chandty01,C,36,LAL,35,660,12.6,.636,.012,.671,12.5,23.4,18.1,5.1,1.2,2.0,20.3,8.4,,1.0,1.0,2.0,.144,,-1.9,2.2,0.3,0.4
96,Wilson Chandler\chandwi01,PF,31,PHI,32,838,8.7,.544,.543,.098,5.2,13.0,9.3,9.7,1.0,1.5,14.3,11.3,,0.5,0.8,1.2,.071,,-1.0,0.5,-0.5,0.3
97,Marquese Chriss\chrisma01,PF,21,HOU,14,94,2.5,.388,.467,.167,7.0,22.4,14.4,7.7,1.1,2.7,25.5,20.1,,-0.3,0.1,-0.2,-0.124,,-9.2,-0.9,-10.0,-0.2
98,Gary Clark\clarkga01,PF,24,HOU,32,499,9.1,.483,.906,.057,4.0,16.8,10.2,3.9,1.4,3.4,3.6,9.9,,0.3,0.4,0.7,.064,,-2.2,0.3,-1.8,0.0
99,Ian Clark\clarkia01,SG,27,NOP,31,408,5.3,.463,.487,.101,1.3,9.6,5.6,11.9,0.8,0.8,15.6,14.9,,-0.3,0.1,-0.2,-0.026,,-3.7,-2.3,-6.0,-0.4
100,Jordan Clarkson\clarkjo01,SG,26,CLE,46,1225,17.4,.541,.357,.137,3.8,9.8,6.7,15.1,1.4,0.6,9.2,28.6,,1.0,-0.2,0.9,.033,,1.9,-4.0,-2.1,0.0
101,John Collins\collijo01,PF,21,ATL,29,869,21.6,.636,.169,.281,13.3,23.7,18.3,13.6,0.3,1.1,12.7,23.1,,2.3,0.5,2.8,.153,,2.9,-1.2,1.7,0.8
102,Zach Collins\colliza01,C,21,POR,47,884,13.6,.584,.317,.290,7.3,16.2,11.9,7.2,0.9,3.5,14.1,16.4,,1.0,1.0,2.0,.110,,-0.7,1.0,0.4,0.5
103,Darren Collison\collida01,PG,31,IND,45,1234,15.1,.553,.313,.246,1.9,9.7,5.9,27.2,2.7,0.6,15.0,15.8,,1.7,1.9,3.6,.141,,0.3,0.6,0.9,0.9
104,Mike Conley\conlemi01,PG,31,MEM,45,1504,19.8,.547,.375,.319,1.9,9.4,5.6,31.7,1.9,1.0,9.0,27.3,,2.6,1.5,4.1,.130,,3.5,-1.3,2.2,1.6
105,Pat Connaughton\connapa01,SG,26,MIL,29,512,13.1,.519,.601,.127,5.2,15.5,10.6,14.9,1.2,2.5,9.2,15.2,,0.5,0.8,1.4,.129,,-0.3,1.3,1.0,0.4
106,Quinn Cook\cookqu01,PG,25,GSW,40,599,14.8,.584,.439,.079,2.4,13.2,8.0,16.6,1.1,0.4,10.6,20.9,,0.8,0.4,1.2,.098,,0.8,-2.7,-1.9,0.0
107,DeMarcus Cousins\couside01,C,28,GSW,1,15,29.9,.589,.364,.182,7.5,34.7,21.6,34.9,3.2,5.7,7.8,36.7,,0.1,0.0,0.1,.286,,8.2,4.8,13.0,0.1
108,Robert Covington\covinro01,SF,28,TOT,35,1203,13.4,.580,.622,.246,2.5,14.6,8.6,5.3,2.9,3.2,10.5,15.7,,0.9,1.7,2.6,.103,,0.5,2.1,2.6,1.4
108,Robert Covington\covinro01,SF,28,PHI,13,440,11.0,.578,.658,.197,1.8,14.1,8.1,4.3,2.6,4.1,14.8,14.3,,0.0,0.7,0.7,.078,,-1.2,2.4,1.2,0.3
108,Robert Covington\covinro01,SF,28,MIN,22,763,14.8,.580,.604,.269,2.9,14.9,8.8,5.9,3.2,2.7,8.4,16.5,,0.9,1.0,1.9,.117,,1.5,2.0,3.5,1.1
109,Allen Crabbe\crabbal01,SG,26,BRK,28,732,7.5,.501,.677,.153,1.9,12.5,7.2,5.8,1.1,0.9,10.8,17.4,,-0.2,0.5,0.2,.016,,-2.0,-1.1,-3.1,-0.2
110,Torrey Craig\craigto01,SF,28,DEN,40,894,8.9,.524,.524,.170,7.1,12.7,9.9,5.5,1.1,2.1,13.0,12.6,,0.4,0.8,1.2,.065,,-1.3,0.2,-1.1,0.2
111,Jamal Crawford\crawfja01,SG,38,PHO,37,635,8.7,.463,.412,.245,1.0,6.9,3.9,27.0,1.1,0.9,17.8,21.5,,-0.7,0.0,-0.6,-0.047,,-4.0,-4.0,-8.0,-1.0
112,Jae Crowder\crowdja01,SF,28,UTA,46,1254,12.4,.538,.632,.308,3.0,15.7,9.5,9.0,1.3,1.3,8.6,19.3,,0.8,1.8,2.6,.099,,0.0,0.5,0.5,0.8
113,Dante Cunningham\cunnida01,PF,31,SAS,42,715,10.9,.591,.424,.096,6.4,18.2,12.4,6.8,1.4,1.4,12.1,9.2,,0.8,0.7,1.6,.106,,-0.3,1.1,0.8,0.5
114,Seth Curry\curryse01,SG,28,POR,41,710,8.3,.566,.545,.033,1.5,6.4,4.0,7.1,1.0,0.4,12.8,14.6,,0.3,0.4,0.7,.045,,-1.1,-1.6,-2.7,-0.1
115,Stephen Curry\curryst01,PG,30,GSW,35,1205,26.9,.667,.584,.247,2.4,13.5,8.1,25.4,1.7,0.9,11.6,31.4,,4.7,1.1,5.7,.229,,9.5,-2.1,7.4,2.9
116,Troy Daniels\danietr01,SG,27,PHO,22,303,10.9,.583,.773,.100,2.2,7.2,4.7,4.4,2.2,0.3,10.9,18.5,,0.1,0.1,0.2,.034,,0.1,-3.3,-3.2,-0.1
117,Anthony Davis\davisan02,C,25,NOP,41,1519,30.8,.595,.145,.441,9.8,27.7,18.9,18.8,2.2,5.8,7.5,29.7,,6.0,2.3,8.3,.263,,5.3,3.6,8.9,4.2
118,Ed Davis\davised01,C,29,BRK,46,829,17.6,.627,.011,.466,17.5,33.4,25.4,5.6,1.4,1.5,15.2,12.9,,1.9,1.2,3.1,.178,,-0.6,1.1,0.5,0.5
119,Tyler Davis\davisty01,C,21,OKC,1,1,0.0,.000,.000,.000,100.0,0.0,51.7,0.0,0.0,0.0,0.0,40.6,,0.0,0.0,0.0,-0.471,,-14.7,-20.3,-35.1,0.0
120,Dewayne Dedmon\dedmode01,C,29,ATL,35,862,13.9,.566,.373,.199,6.4,26.0,16.0,7.9,1.9,3.5,14.3,16.5,,0.5,1.1,1.6,.088,,-2.0,1.7,-0.3,0.4
121,Sam Dekker\dekkesa01,SF-PF,24,TOT,27,460,16.3,.558,.191,.153,7.3,14.8,10.9,8.2,3.1,0.7,7.7,17.0,,0.6,0.3,0.9,.094,,-0.5,-0.4,-0.9,0.1
121,Sam Dekker\dekkesa01,PF,24,CLE,9,169,14.2,.544,.271,.208,5.8,16.6,11.0,7.9,3.3,0.0,8.7,15.0,,0.2,0.1,0.3,.073,,-0.7,-0.6,-1.2,0.0
121,Sam Dekker\dekkesa01,SF,24,WAS,18,291,17.6,.564,.156,.128,8.1,13.8,10.9,8.4,2.9,1.2,7.2,18.2,,0.4,0.3,0.6,.106,,-0.4,-0.3,-0.7,0.1
122,Matthew Dellavedova\dellama01,PG,28,TOT,30,437,12.9,.597,.537,.162,1.0,9.2,5.0,31.9,0.7,0.0,22.0,18.8,,0.5,0.0,0.5,.054,,-0.1,-4.8,-4.9,-0.3
122,Matthew Dellavedova\dellama01,PG,28,MIL,12,97,7.6,.482,.579,.211,0.0,10.1,5.3,35.6,1.0,0.0,34.6,13.8,,0.0,0.1,0.1,.047,,-5.3,-2.9,-8.2,-0.2
122,Matthew Dellavedova\dellama01,PG,28,CLE,18,340,14.5,.616,.530,.154,1.3,8.9,5.0,30.9,0.6,0.0,19.4,20.2,,0.5,-0.1,0.4,.056,,1.4,-5.3,-3.9,-0.2
123,Luol Deng\denglu01,SF,33,MIN,6,51,20.1,.551,.333,.476,12.3,14.9,13.6,6.0,2.8,1.7,7.3,22.6,,0.1,0.1,0.2,.148,,1.1,-1.4,-0.3,0.0
124,DeMar DeRozan\derozde01,SG,29,SAS,46,1632,19.4,.529,.049,.330,2.4,16.4,9.5,28.7,1.4,1.1,11.3,28.8,,2.0,1.6,3.5,.104,,0.5,0.3,0.8,1.1
125,Marcus Derrickson\derrima01,SF,22,GSW,6,34,5.0,.507,.467,.267,6.6,6.1,6.3,0.0,0.0,2.5,15.2,24.9,,-0.1,0.0,0.0,-0.052,,-6.0,-6.9,-12.8,-0.1
126,Cheick Diallo\diallch01,PF,22,NOP,29,274,15.3,.619,.015,.358,9.9,29.0,19.6,4.3,1.9,4.0,19.7,14.6,,0.2,0.4,0.6,.108,,-3.2,1.1,-2.1,0.0
127,Hamidou Diallo\diallha01,SG,20,OKC,39,464,10.5,.499,.154,.356,7.2,12.3,9.7,4.7,1.6,1.6,9.9,16.8,,0.1,0.6,0.8,.079,,-4.1,-0.4,-4.5,-0.3
128,Gorgui Dieng\dienggo01,C,29,MIN,45,625,15.3,.564,.163,.276,6.5,25.5,15.9,8.3,1.8,3.5,12.0,16.8,,0.7,0.8,1.5,.116,,-2.2,1.6,-0.6,0.2
129,Spencer Dinwiddie\dinwisp01,PG,25,BRK,47,1339,17.7,.599,.439,.416,1.5,7.8,4.6,28.2,1.0,0.6,14.1,25.0,,3.1,0.6,3.7,.133,,3.0,-2.7,0.3,0.8
130,Donte DiVincenzo\divindo01,SG,22,MIL,23,358,8.5,.492,.645,.103,4.0,11.7,8.1,9.6,1.6,1.4,13.9,15.3,,-0.1,0.5,0.4,.060,,-2.4,0.5,-1.9,0.0
131,Luka Doncic\doncilu01,PF,19,DAL,44,1406,18.6,.558,.432,.397,3.7,18.5,11.3,27.0,1.8,0.6,15.2,28.2,,1.6,1.7,3.2,.110,,2.6,0.7,3.2,1.9
132,Tyler Dorsey\dorsety01,SG,22,ATL,23,228,7.5,.433,.434,.289,4.1,15.2,9.5,9.8,1.4,0.4,9.7,18.4,,-0.2,0.1,-0.1,-0.017,,-4.6,-2.2,-6.8,-0.3
133,Damyean Dotson\dotsoda01,SG,24,NYK,35,886,12.0,.543,.447,.132,2.6,13.0,7.6,7.8,1.7,0.4,7.1,16.0,,0.7,0.4,1.1,.059,,-0.3,-1.2,-1.5,0.1
134,PJ Dozier\doziepj01,PG,22,BOS,4,10,25.0,.583,.333,.000,21.2,21.5,21.3,0.0,0.0,0.0,0.0,26.0,,0.0,0.0,0.0,.210,,1.0,-10.7,-9.6,0.0
135,Goran Dragic\dragigo01,PG,32,MIA,14,408,13.3,.510,.372,.266,2.1,9.0,5.5,26.6,1.2,0.8,14.3,25.6,,0.1,0.4,0.4,.049,,-0.5,-2.1,-2.6,-0.1
136,Andre Drummond\drumman01,C,25,DET,44,1449,20.2,.513,.049,.346,16.4,33.4,24.5,6.1,2.3,4.3,13.6,23.9,,0.4,3.0,3.4,.112,,-2.7,2.9,0.1,0.8
137,Jared Dudley\dudleja01,PF,33,BRK,43,944,7.2,.523,.637,.184,2.8,10.9,6.9,9.3,1.4,1.1,15.3,11.0,,0.2,0.7,0.9,.044,,-1.8,0.7,-1.1,0.2
138,Kris Dunn\dunnkr01,PG,24,CHI,20,610,13.0,.491,.120,.142,0.7,15.0,7.8,33.8,2.2,1.0,16.5,21.5,,-0.3,0.5,0.2,.018,,-2.4,0.1,-2.4,-0.1
139,Kevin Durant\duranke01,PF,30,GSW,46,1638,25.5,.629,.270,.388,1.5,20.2,11.2,26.7,1.1,2.6,12.9,30.8,,5.3,1.8,7.1,.208,,4.6,0.3,4.8,2.8
140,Vince Edwards\edwarvi01,SF,22,HOU,1,4,32.6,.750,1.000,.000,27.4,0.0,14.1,0.0,0.0,0.0,0.0,21.9,,0.0,0.0,0.0,.315,,13.0,-11.5,1.5,0.0
141,Henry Ellenson\ellenhe01,PF,22,DET,2,25,14.9,.551,.400,.200,0.0,41.0,19.5,6.3,0.0,0.0,0.0,18.6,,0.0,0.0,0.1,.145,,-3.6,-2.7,-6.3,0.0
142,Wayne Ellington\ellinwa01,SG,31,MIA,22,465,10.6,.535,.841,.083,1.4,8.2,4.7,8.7,2.3,0.6,7.4,16.1,,0.3,0.5,0.8,.085,,0.5,-0.9,-0.4,0.2
143,Joel Embiid\embiijo01,C,24,PHI,44,1475,25.5,.596,.215,.533,7.6,33.5,21.0,18.3,0.8,4.6,13.4,32.8,,3.3,2.6,5.9,.192,,1.6,2.0,3.6,2.1
144,James Ennis\ennisja01,SF,28,HOU,31,703,11.2,.630,.588,.263,4.2,8.8,6.4,4.2,1.7,1.4,9.6,12.3,,1.1,0.3,1.4,.095,,0.1,-0.8,-0.7,0.2
145,Drew Eubanks\eubandr01,PF,21,SAS,12,47,20.9,.742,.000,.571,2.4,25.4,14.0,6.5,1.0,0.0,10.2,18.4,,0.2,0.0,0.2,.205,,0.1,-2.2,-2.1,0.0
146,Jacob Evans\evansja02,SG,21,GSW,23,99,-1.3,.256,.240,.040,1.1,8.4,4.9,15.5,0.5,0.9,19.1,13.6,,-0.3,0.0,-0.2,-0.119,,-8.9,-2.3,-11.2,-0.2
147,Jawun Evans\evansja01,PG,22,PHO,4,46,1.0,.200,.200,.000,2.4,22.6,12.3,22.3,2.1,0.0,28.6,13.2,,-0.2,0.0,-0.1,-0.136,,-9.9,0.5,-9.5,-0.1
148,Tyreke Evans\evansty01,SG,29,IND,41,840,12.5,.492,.353,.243,3.3,11.6,7.6,16.1,2.6,1.1,14.2,27.3,,-0.9,1.3,0.4,.025,,-2.5,-0.2,-2.8,-0.2
149,Dante Exum\exumda01,PG,23,UTA,39,637,12.7,.530,.252,.368,2.6,8.5,5.6,25.5,1.1,0.6,14.5,21.5,,0.5,0.7,1.2,.089,,-1.6,-1.2,-2.8,-0.1
150,Kenneth Faried\farieke01,PF,29,BRK,12,118,21.1,.622,.119,.381,13.6,26.7,20.1,2.8,0.8,2.7,10.9,20.0,,0.3,0.1,0.4,.162,,-1.6,-2.0,-3.6,0.0
151,Derrick Favors\favorde01,C,27,UTA,46,1079,20.4,.610,.146,.413,13.0,20.5,16.8,7.1,1.6,4.3,10.8,18.9,,2.3,2.1,4.4,.197,,0.8,3.0,3.7,1.6
152,Cristiano Felicio\feliccr01,C,26,CHI,29,288,13.0,.603,.032,.371,9.4,21.4,15.3,7.8,0.7,0.6,15.3,13.1,,0.4,0.2,0.5,.090,,-3.0,-0.8,-3.8,-0.1
153,Raymond Felton\feltora01,PG,34,OKC,15,166,10.8,.438,.395,.118,1.8,11.4,6.5,22.8,1.7,2.0,12.1,22.3,,-0.1,0.2,0.1,.028,,-3.9,-0.8,-4.8,-0.1
154,Terrance Ferguson\fergute01,SG,20,OKC,38,864,6.0,.544,.635,.120,2.3,6.1,4.2,3.8,1.0,1.0,9.4,10.5,,0.4,0.9,1.2,.069,,-2.2,-0.2,-2.5,-0.1
155,Yogi Ferrell\ferreyo01,SG,25,SAC,36,503,13.2,.556,.400,.206,0.6,10.1,5.2,16.4,1.2,0.5,7.0,16.5,,0.7,0.3,1.0,.096,,-0.3,-2.2,-2.5,-0.1
156,Dorian Finney-Smith\finnedo01,SF,25,DAL,45,1095,11.2,.549,.484,.238,7.7,11.7,9.8,4.2,1.9,1.6,11.3,13.4,,0.8,1.2,2.0,.090,,-0.6,1.0,0.5,0.7
157,Bryn Forbes\forbebr01,PG,25,SAS,47,1338,12.0,.581,.506,.103,0.7,10.1,5.5,11.0,1.1,0.1,9.8,18.2,,1.2,0.8,2.0,.072,,1.2,-1.8,-0.6,0.5
158,Evan Fournier\fournev01,SG,26,ORL,45,1400,11.9,.528,.453,.154,1.8,9.1,5.4,18.4,1.4,0.5,12.8,23.0,,-0.2,1.0,0.8,.028,,-0.4,-1.6,-2.0,0.0
159,De'Aaron Fox\foxde01,PG,21,SAC,46,1453,18.9,.555,.224,.403,1.9,10.2,6.0,33.0,2.6,1.5,15.6,24.7,,2.1,1.4,3.5,.116,,1.6,-0.1,1.6,1.3
160,Melvin Frazier\frazime01,SG,22,ORL,3,16,-9.7,.000,.333,.000,0.0,6.9,3.4,0.0,3.1,0.0,25.0,11.1,,-0.1,0.0,-0.1,-0.245,,-14.2,0.3,-13.9,0.0
161,Tim Frazier\fraziti01,PG,28,NOP,35,678,10.9,.555,.436,.171,3.8,11.3,7.6,26.4,1.2,0.4,23.4,12.0,,0.7,0.2,1.0,.069,,-0.6,-1.6,-2.2,0.0
162,Channing Frye\fryech01,C,35,CLE,23,229,7.3,.491,.701,.130,1.9,14.8,8.1,7.6,1.1,1.1,10.9,17.7,,-0.1,0.0,-0.1,-0.021,,-2.4,-3.3,-5.7,-0.2
163,Markelle Fultz\fultzma01,SG,20,PHI,19,427,10.5,.452,.090,.239,6.8,10.6,8.8,19.7,1.9,0.9,12.7,19.4,,-0.1,0.4,0.3,.038,,-2.9,-0.2,-3.1,-0.1
164,Danilo Gallinari\gallida01,SF,30,LAC,44,1377,19.5,.622,.425,.432,3.2,16.5,10.1,12.0,1.1,0.7,8.4,22.6,,3.9,0.9,4.9,.170,,4.0,-1.3,2.7,1.6
165,Langston Galloway\gallola01,SG,27,DET,43,947,10.2,.519,.646,.155,3.1,8.8,5.8,7.7,1.0,0.3,4.2,16.2,,0.9,0.7,1.6,.080,,-0.1,-1.4,-1.5,0.1
166,Marc Gasol\gasolma01,C,34,MEM,45,1520,16.9,.534,.324,.300,3.4,26.0,14.4,22.6,1.8,3.8,13.5,22.3,,0.7,2.5,3.2,.100,,-0.5,3.5,2.9,1.9
167,Pau Gasol\gasolpa01,C,38,SAS,17,248,17.3,.569,.138,.448,5.8,34.6,20.4,19.2,0.4,4.4,13.7,14.3,,0.4,0.4,0.8,.158,,-1.3,3.2,1.9,0.2
168,Rudy Gay\gayru01,SF,32,SAS,37,992,18.0,.595,.239,.184,4.3,21.9,13.2,13.7,1.6,1.9,12.3,21.8,,1.4,1.2,2.6,.126,,1.0,0.9,1.8,1.0
169,Paul George\georgpa01,SF,28,OKC,44,1583,23.2,.577,.435,.308,4.2,19.1,11.5,17.5,3.0,1.2,10.3,29.2,,3.6,3.0,6.6,.199,,4.2,1.2,5.4,3.0
170,Taj Gibson\gibsota01,PF,33,MIN,44,1127,16.9,.598,.090,.284,10.8,18.2,14.4,7.6,1.5,1.9,10.4,16.2,,2.2,1.0,3.2,.136,,0.6,0.7,1.3,0.9
171,Harry Giles\gilesha01,PF,20,SAC,33,404,13.0,.496,.030,.250,7.5,21.2,14.2,17.3,2.7,2.5,18.4,23.5,,-0.4,0.6,0.2,.026,,-3.9,2.0,-2.0,0.0
172,Shai Gilgeous-Alexander\gilgesh01,PG,20,LAC,45,1167,12.5,.557,.188,.275,2.9,8.0,5.5,15.8,1.9,1.8,17.0,17.5,,0.5,0.8,1.3,.055,,-0.9,0.3,-0.6,0.4
173,Rudy Gobert\goberru01,C,26,UTA,47,1479,24.4,.676,.000,.688,12.8,32.3,22.7,10.8,1.4,5.2,12.1,17.4,,4.8,3.4,8.2,.267,,1.9,5.3,7.2,3.5
174,Brandon Goodwin\goodwbr01,PG,23,DEN,12,45,9.8,.435,.235,.647,0.0,4.9,2.4,34.1,0.0,0.0,8.4,22.7,,0.1,0.0,0.1,.065,,-3.9,-7.0,-10.9,-0.1
175,Aaron Gordon\gordoaa01,PF,23,ORL,43,1442,15.6,.542,.324,.248,5.2,19.5,12.3,15.7,1.2,1.7,11.3,21.7,,1.0,1.5,2.5,.084,,0.0,0.8,0.8,1.0
176,Eric Gordon\gordoer01,SG,30,HOU,34,1114,11.1,.513,.585,.196,1.4,7.5,4.4,10.8,0.8,1.1,8.7,23.1,,0.4,0.2,0.5,.023,,-1.0,-3.4,-4.5,-0.7
177,Marcin Gortat\gortama01,C,34,LAC,38,636,13.6,.567,.000,.280,10.2,25.5,18.2,12.7,0.4,2.5,18.9,14.5,,0.6,0.6,1.3,.096,,-1.7,1.5,-0.2,0.3
178,Devonte' Graham\grahade01,PG,23,CHO,25,316,12.0,.509,.550,.140,0.3,9.2,4.8,24.4,2.3,0.0,11.7,16.3,,0.3,0.3,0.5,.078,,-0.7,-2.1,-2.8,-0.1
179,Treveon Graham\grahatr01,SG,25,BRK,10,214,3.1,.380,.614,.140,4.5,9.1,6.8,5.0,0.7,1.1,10.4,13.5,,-0.3,0.1,-0.2,-0.036,,-4.4,-0.9,-5.4,-0.2
180,Jerami Grant\grantje01,PF,24,OKC,45,1435,14.0,.605,.336,.314,3.2,13.2,8.1,3.9,1.3,3.6,7.6,14.5,,2.2,2.1,4.3,.144,,-0.9,1.6,0.7,1.0
181,Jerian Grant\grantje02,PG,26,ORL,40,702,9.5,.495,.487,.156,2.1,8.5,5.3,23.0,2.3,0.4,19.6,12.9,,0.0,0.6,0.7,.047,,-2.7,-0.5,-3.2,-0.2
182,Danny Green\greenda02,SG,31,TOR,46,1353,11.7,.595,.668,.064,3.6,11.9,7.8,5.9,1.5,2.3,11.2,13.9,,1.2,1.6,2.8,.101,,0.9,1.3,2.2,1.4
183,Draymond Green\greendr01,PF,28,GSW,32,1004,12.8,.493,.359,.180,3.5,22.7,13.4,28.6,2.4,2.5,26.6,13.6,,0.4,1.5,1.8,.088,,-1.5,3.2,1.7,0.9
184,Gerald Green\greenge01,SG,33,HOU,41,868,11.0,.567,.812,.088,2.7,12.4,7.4,3.9,0.9,1.4,8.8,18.3,,0.7,0.3,1.0,.054,,-0.3,-3.1,-3.4,-0.3
185,JaMychal Green\greenja01,PF,28,MEM,34,786,16.5,.598,.293,.259,9.5,24.1,16.6,6.8,1.9,2.9,16.2,20.9,,0.5,1.2,1.8,.108,,-1.4,1.0,-0.5,0.3
186,Jeff Green\greenje02,PF,32,WAS,43,1174,13.5,.600,.422,.282,4.0,15.1,9.5,8.9,1.0,1.5,11.2,16.8,,1.6,0.5,2.1,.085,,-0.1,-1.0,-1.2,0.2
187,Blake Griffin\griffbl01,PF,29,DET,43,1557,21.6,.595,.357,.430,3.6,21.5,12.1,26.1,1.1,1.1,14.8,30.2,,3.0,1.8,4.8,.147,,4.3,0.8,5.1,2.8
188,Daniel Hamilton\hamilda02,SG,23,ATL,15,169,8.2,.474,.367,.122,5.5,19.2,12.2,16.4,1.4,0.5,21.3,15.7,,-0.1,0.1,0.0,-0.009,,-4.4,-0.5,-5.0,-0.1
189,Tim Hardaway\hardati02,SG,26,NYK,40,1308,14.5,.533,.463,.317,1.7,9.4,5.4,13.1,1.4,0.3,9.6,26.2,,0.9,0.3,1.2,.044,,1.3,-3.1,-1.8,0.0
190,James Harden\hardeja01,SG,29,HOU,42,1572,30.2,.622,.557,.496,2.4,17.3,9.6,43.8,2.8,1.4,16.3,40.1,,6.3,1.6,7.9,.242,,11.1,0.6,11.8,5.4
191,Maurice Harkless\harklma01,SF,25,POR,27,582,11.1,.530,.359,.166,5.0,14.5,9.9,4.6,1.9,3.6,9.3,12.6,,0.4,0.8,1.1,.093,,-1.5,2.3,0.8,0.4
192,Montrezl Harrell\harremo01,C,25,LAC,45,1148,24.8,.639,.013,.538,10.6,17.8,14.3,11.3,1.8,4.3,10.1,22.7,,3.6,1.4,5.0,.211,,3.2,1.9,5.2,2.1
193,Devin Harris\harride01,PG,35,DAL,33,488,11.6,.531,.554,.327,1.1,10.1,5.7,12.0,2.3,1.2,10.7,18.8,,0.2,0.5,0.8,.078,,-1.1,-0.3,-1.5,0.1
